id,label,period,source
10797460,CONFIRMED,9.48803557,kepler
10811496,CANDIDATE,19.89913995,kepler
10848459,FALSE POSITIVE,1.736952453,kepler
10854555,CONFIRMED,2.525591777,kepler
10872983,CONFIRMED,11.09432054,kepler
6721123,FALSE POSITIVE,7.36178958,kepler
10910878,CONFIRMED,16.06864674,kepler
11446443,CONFIRMED,2.470613377,kepler
10666592,CONFIRMED,2.204735417,kepler
6922244,CONFIRMED,3.522498429,kepler
10984090,CONFIRMED,3.709214104,kepler
10419211,FALSE POSITIVE,11.521446064,kepler
10464078,FALSE POSITIVE,19.40393776,kepler
10480982,FALSE POSITIVE,19.221388942,kepler
10485250,FALSE POSITIVE,16.46983774,kepler
10526549,CONFIRMED,9.27358173,kepler
10583066,CONFIRMED,6.02930329,kepler
10583180,FALSE POSITIVE,2.696370652,kepler
10601284,CONFIRMED,5.349553819,kepler
2306756,FALSE POSITIVE,386.6030528,kepler
10662202,CONFIRMED,21.67699193,kepler
10682541,CONFIRMED,4.99677968,kepler
11460018,CONFIRMED,4.280963604,kepler
11463211,FALSE POSITIVE,1.50635409,kepler
11465813,FALSE POSITIVE,670.645531,kepler
11493732,FALSE POSITIVE,61.2563628,kepler
11507101,CONFIRMED,38.3775486,kepler
10987985,CONFIRMED,16.01308419,kepler
11018648,CONFIRMED,32.62876672,kepler
11138155,CONFIRMED,4.959319244,kepler
11152159,FALSE POSITIVE,2.701287801,kepler
11153539,CONFIRMED,4.49876511,kepler
11242721,FALSE POSITIVE,19.651209505,kepler
9579641,CONFIRMED,5.412203927,kepler
11304958,CONFIRMED,41.43958662,kepler
11391957,CONFIRMED,8.35389523,kepler
11403044,CONFIRMED,4.125543472,kepler
11414511,CONFIRMED,2.816504904,kepler
11442465,FALSE POSITIVE,33.93373447,kepler
12110942,CONFIRMED,3.689920099,kepler
12366084,CONFIRMED,4.431238488,kepler
12404086,CONFIRMED,26.39432897,kepler
8395660,CONFIRMED,13.57078281,kepler
11656840,FALSE POSITIVE,7.442652004,kepler
11754553,CONFIRMED,16.38489988,kepler
11812062,CONFIRMED,3.728732147,kepler
11818800,CANDIDATE,40.4195037,kepler
11853255,CONFIRMED,2.243380573,kepler
11909839,FALSE POSITIVE,10.405998015,kepler
11918099,CONFIRMED,2.337437946,kepler
11923270,CONFIRMED,11.59822233,kepler
11960862,CONFIRMED,6.575315881,kepler
12020329,CONFIRMED,7.275040844,kepler
12066335,CONFIRMED,19.27153892,kepler
12070811,CONFIRMED,12.3935651,kepler
3120431,FALSE POSITIVE,3.341913228,kepler
3246984,FALSE POSITIVE,1.626630225,kepler
3342970,CONFIRMED,2.711504086,kepler
12459725,FALSE POSITIVE,14.1798187,kepler
12470844,CONFIRMED,8.47237911,kepler
12644822,CONFIRMED,12.611904345,kepler
2440757,FALSE POSITIVE,1.433769925,kepler
2445129,FALSE POSITIVE,10.31872301,kepler
2713049,CONFIRMED,2.539183147,kepler
3114167,CONFIRMED,6.770300385,kepler
3114661,FALSE POSITIVE,0.444291966,kepler
3115833,CANDIDATE,10.181584004,kepler
4139816,CONFIRMED,20.06036336,kepler
4275191,CONFIRMED,3.895936525,kepler
4476123,CONFIRMED,22.36646466,kepler
3351888,CONFIRMED,1.625522174,kepler
3453214,CANDIDATE,19.620346923,kepler
3554600,FALSE POSITIVE,7.544039,kepler
3641726,CONFIRMED,9.02930689,kepler
3734868,FALSE POSITIVE,10.328035714,kepler
3832474,CONFIRMED,143.2063047,kepler
3836375,FALSE POSITIVE,1.540397253,kepler
3838486,FALSE POSITIVE,2.99025443,kepler
3935914,CONFIRMED,1.594745374,kepler
3940418,CONFIRMED,4.783002698,kepler
4049131,CONFIRMED,20.50588921,kepler
5287983,FALSE POSITIVE,2.507089906,kepler
5358241,CONFIRMED,18.64932728,kepler
10875245,CONFIRMED,4.90144976,kepler
5358624,CONFIRMED,3.525632539,kepler
4544670,CANDIDATE,34.84398644,kepler
4664847,CONFIRMED,7.748094239,kepler
4725681,CONFIRMED,23.96793669,kepler
4913852,CONFIRMED,8.11437482,kepler
4932348,FALSE POSITIVE,38.036729482,kepler
4936180,CANDIDATE,4.64090031,kepler
11913073,FALSE POSITIVE,3.747838198,kepler
5021899,CONFIRMED,21.81295996,kepler
5077629,FALSE POSITIVE,7.91936937,kepler
5115978,CANDIDATE,1.028436523,kepler
5164255,CONFIRMED,15.37562369,kepler
5252423,CONFIRMED,8.10363271,kepler
5272878,CONFIRMED,6.365839713,kepler
5283542,FALSE POSITIVE,5.97581754,kepler
5649215,FALSE POSITIVE,2.446737317,kepler
5651104,CONFIRMED,3.04033046,kepler
5792202,CONFIRMED,15.33528675,kepler
5370302,FALSE POSITIVE,3.9043425,kepler
5372966,FALSE POSITIVE,9.286358079,kepler
5376067,FALSE POSITIVE,3.951405455,kepler
5436502,CONFIRMED,23.65369415,kepler
5456651,CONFIRMED,11.76307164,kepler
5481416,FALSE POSITIVE,2.384052875,kepler
5531576,CONFIRMED,7.953547,kepler
