# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 16 04:36:32 2025
#
# COLUMN kepid:          KepID
# COLUMN koi_name:       KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN pl_name:        Confirmed Name
#
rowid,kepid,koi_name,kepler_name,pl_name
1,11446443,K00001.01,Kepler-1 b,TrES-2 b
2,11904151,K00072.01,Kepler-10 b,Kepler-10 b
3,11904151,K00072.02,Kepler-10 c,Kepler-10 c
4,11904151,,Kepler-10 d,Kepler-10 d
5,6521045,K00041.02,Kepler-100 b,Kepler-100 b
6,6521045,K00041.01,Kepler-100 c,Kepler-100 c
7,6521045,K00041.03,Kepler-100 d,Kepler-100 d
8,6521045,,Kepler-100 e,Kepler-100 e
9,10063802,K01888.01,Kepler-1000 b,Kepler-1000 b
10,11074178,K01889.01,Kepler-1001 b,Kepler-1001 b
11,11074178,K01889.02,Kepler-1001 c,Kepler-1001 c
12,7449136,K01890.01,Kepler-1002 b,Kepler-1002 b
13,8689793,K01893.01,Kepler-1003 b,Kepler-1003 b
14,11673802,K01894.01,Kepler-1004 b,Kepler-1004 b
15,7668663,K01898.01,Kepler-1005 b,Kepler-1005 b
16,7047922,K01899.01,Kepler-1006 b,Kepler-1006 b
17,9353314,K01900.01,Kepler-1007 b,Kepler-1007 b
18,8766650,K01904.01,Kepler-1008 b,Kepler-1008 b
19,7094486,K01907.01,Kepler-1009 b,Kepler-1009 b
20,10905239,K00046.01,Kepler-101 b,Kepler-101 b
21,10905239,K00046.02,Kepler-101 c,Kepler-101 c
22,8226050,K01910.01,Kepler-1010 b,Kepler-1010 b
23,9965957,K01911.01,Kepler-1011 b,Kepler-1011 b
24,9704384,K01913.01,Kepler-1012 b,Kepler-1012 b
25,8426567,K01914.01,Kepler-1013 b,Kepler-1013 b
26,8218379,K01920.01,Kepler-1014 b,Kepler-1014 b
27,7755636,K01921.01,Kepler-1015 b,Kepler-1015 b
28,9411166,K01922.01,Kepler-1016 b,Kepler-1016 b
29,9411166,K01922.03,Kepler-1016 c,Kepler-1016 c
30,4989057,K01923.01,Kepler-1017 b,Kepler-1017 b
31,9072190,K01933.01,Kepler-1018 b,Kepler-1018 b
32,10190777,K01937.01,Kepler-1019 b,Kepler-1019 b
33,10187017,K00082.05,Kepler-102 b,Kepler-102 b
34,10187017,K00082.04,Kepler-102 c,Kepler-102 c
35,10187017,K00082.02,Kepler-102 d,Kepler-102 d
36,10187017,K00082.01,Kepler-102 e,Kepler-102 e
37,10187017,K00082.03,Kepler-102 f,Kepler-102 f
38,9651234,K01938.01,Kepler-1020 b,Kepler-1020 b
39,7045496,K01939.01,Kepler-1021 b,Kepler-1021 b
40,10005788,K01940.01,Kepler-1022 b,Kepler-1022 b
41,11656918,K01945.01,Kepler-1023 b,Kepler-1023 b
42,3118797,K01950.01,Kepler-1024 b,Kepler-1024 b
43,8081187,K01951.01,Kepler-1025 b,Kepler-1025 b
44,4813563,K01959.01,Kepler-1026 b,Kepler-1026 b
45,7269493,K01961.01,Kepler-1027 b,Kepler-1027 b
46,11657891,K01965.01,Kepler-1028 b,Kepler-1028 b
47,6205897,K01967.01,Kepler-1029 b,Kepler-1029 b
48,4914423,K00108.01,Kepler-103 b,Kepler-103 b
49,4914423,K00108.02,Kepler-103 c,Kepler-103 c
50,9347009,K01971.01,Kepler-1030 b,Kepler-1030 b
51,11253711,K01972.02,Kepler-1031 b,Kepler-1031 b
52,4917596,K01973.01,Kepler-1032 b,Kepler-1032 b
53,8543100,K01975.01,Kepler-1033 b,Kepler-1033 b
54,2693736,K01976.01,Kepler-1034 b,Kepler-1034 b
55,7273277,K01979.01,Kepler-1035 b,Kepler-1035 b
56,11769890,K01980.01,Kepler-1036 b,Kepler-1036 b
57,10153855,K01981.01,Kepler-1037 b,Kepler-1037 b
58,8257205,K01986.01,Kepler-1038 b,Kepler-1038 b
59,8257205,K01986.02,Kepler-1038 c,Kepler-1038 c
60,9044228,K01988.01,Kepler-1039 b,Kepler-1039 b
61,6678383,K00111.01,Kepler-104 b,Kepler-104 b
62,6678383,K00111.02,Kepler-104 c,Kepler-104 c
63,6678383,K00111.03,Kepler-104 d,Kepler-104 d
64,10779233,K01989.01,Kepler-1040 b,Kepler-1040 b
65,11614617,K01990.01,Kepler-1041 b,Kepler-1041 b
66,4736569,K01996.01,Kepler-1042 b,Kepler-1042 b
67,10384798,K01997.01,Kepler-1043 b,Kepler-1043 b
68,9834040,K01998.01,Kepler-1044 b,Kepler-1044 b
69,8802693,K02000.01,Kepler-1045 b,Kepler-1045 b
70,10024701,K02002.01,Kepler-1046 b,Kepler-1046 b
71,12154526,K02004.01,Kepler-1047 b,Kepler-1047 b
72,12154526,K02004.02,Kepler-1047 c,Kepler-1047 c
73,6665512,K02005.01,Kepler-1048 b,Kepler-1048 b
74,10525027,K02006.01,Kepler-1049 b,Kepler-1049 b
75,9579641,K00115.01,Kepler-105 b,Kepler-105 b
76,9579641,K00115.02,Kepler-105 c,Kepler-105 c
77,11069176,K02007.01,Kepler-1050 b,Kepler-1050 b
78,11069176,K02007.02,Kepler-1050 c,Kepler-1050 c
79,5631630,K02010.01,Kepler-1051 b,Kepler-1051 b
80,9839821,K02012.01,Kepler-1052 b,Kepler-1052 b
81,9839821,K02012.02,Kepler-1052 c,Kepler-1052 c
82,4056616,K02013.01,Kepler-1053 b,Kepler-1053 b
83,8492026,K02016.01,Kepler-1054 b,Kepler-1054 b
84,8750043,K02017.01,Kepler-1055 b,Kepler-1055 b
85,9973109,K02018.01,Kepler-1056 b,Kepler-1056 b
86,6226290,K02019.01,Kepler-1057 b,Kepler-1057 b
87,9349482,K02020.01,Kepler-1058 b,Kepler-1058 b
88,6356207,K02021.01,Kepler-1059 b,Kepler-1059 b
89,8395660,K00116.03,Kepler-106 b,Kepler-106 b
90,8395660,K00116.01,Kepler-106 c,Kepler-106 c
91,8395660,K00116.04,Kepler-106 d,Kepler-106 d
92,8395660,K00116.02,Kepler-106 e,Kepler-106 e
93,4544907,K02024.01,Kepler-1060 b,Kepler-1060 b
94,11923284,K02026.01,Kepler-1061 b,Kepler-1061 b
95,5940165,K02031.01,Kepler-1062 b,Kepler-1062 b
96,2985767,K02032.01,Kepler-1063 b,Kepler-1063 b
97,2304320,K02033.01,Kepler-1064 b,Kepler-1064 b
98,3657758,K02034.01,Kepler-1065 b,Kepler-1065 b
99,3657758,K02034.02,Kepler-1065 c,Kepler-1065 c
100,9790806,K02035.01,Kepler-1066 b,Kepler-1066 b
101,8804845,K02039.02,Kepler-1067 b,Kepler-1067 b
102,8804845,K02039.01,Kepler-1067 c,Kepler-1067 c
103,9656252,K02044.01,Kepler-1068 b,Kepler-1068 b
104,10663396,K02046.01,Kepler-1069 b,Kepler-1069 b
105,10875245,K00117.03,Kepler-107 b,Kepler-107 b
106,10875245,K00117.02,Kepler-107 c,Kepler-107 c
107,10875245,K00117.04,Kepler-107 d,Kepler-107 d
108,10875245,K00117.01,Kepler-107 e,Kepler-107 e
109,11457726,K02047.01,Kepler-1070 b,Kepler-1070 b
110,8956206,K02048.01,Kepler-1071 b,Kepler-1071 b
111,9649706,K02049.01,Kepler-1072 b,Kepler-1072 b
112,3128552,K02055.01,Kepler-1073 b,Kepler-1073 b
113,3128552,K02055.02,Kepler-1073 c,Kepler-1073 c
114,3128552,K02055.03,Kepler-1073 d,Kepler-1073 d
115,9573685,K02057.01,Kepler-1074 b,Kepler-1074 b
116,10329835,K02058.01,Kepler-1075 b,Kepler-1075 b
117,12301181,K02059.01,Kepler-1076 b,Kepler-1076 b
118,6774880,K02062.01,Kepler-1077 b,Kepler-1077 b
119,7449541,K02063.01,Kepler-1078 b,Kepler-1078 b
120,9304101,K02067.01,Kepler-1079 b,Kepler-1079 b
121,9471974,K00119.01,Kepler-108 b,Kepler-108 b
122,9471974,K00119.02,Kepler-108 c,Kepler-108 c
123,11360571,K02069.01,Kepler-1080 b,Kepler-1080 b
124,6035124,K02071.01,Kepler-1081 b,Kepler-1081 b
125,12058147,K02072.01,Kepler-1082 b,Kepler-1082 b
126,8866137,K02074.01,Kepler-1083 b,Kepler-1083 b
127,10857519,K02075.01,Kepler-1084 b,Kepler-1084 b
128,9517393,K02076.02,Kepler-1085 b,Kepler-1085 b
129,9517393,K02076.01,Kepler-1085 c,Kepler-1085 c
130,9351316,K02078.01,Kepler-1086 b,Kepler-1086 b
131,9351316,K02078.02,Kepler-1086 c,Kepler-1086 c
132,9473078,K02079.01,Kepler-1087 b,Kepler-1087 b
133,6922710,K02087.01,Kepler-1088 b,Kepler-1088 b
134,11348997,K02090.01,Kepler-1089 b,Kepler-1089 b
135,5094751,K00123.01,Kepler-109 b,Kepler-109 b
136,5094751,K00123.02,Kepler-109 c,Kepler-109 c
137,8505920,K02094.02,Kepler-1090 b,Kepler-1090 b
138,8505920,K02094.01,Kepler-1090 c,Kepler-1090 c
139,7918992,K02095.01,Kepler-1091 b,Kepler-1091 b
140,10158729,K02097.01,Kepler-1092 b,Kepler-1092 b
141,6105462,K02098.01,Kepler-1093 b,Kepler-1093 b
142,6105462,K02098.02,Kepler-1093 c,Kepler-1093 c
143,3120355,K02099.01,Kepler-1094 b,Kepler-1094 b
144,6047072,K02100.01,Kepler-1095 b,Kepler-1095 b
145,9411412,K02101.01,Kepler-1096 b,Kepler-1096 b
146,7008211,K02102.01,Kepler-1097 b,Kepler-1097 b
147,7620413,K02103.01,Kepler-1098 b,Kepler-1098 b
148,10854546,K02104.01,Kepler-1099 b,Kepler-1099 b
149,6541920,K00157.06,Kepler-11 b,Kepler-11 b
150,6541920,K00157.01,Kepler-11 c,Kepler-11 c
151,6541920,K00157.02,Kepler-11 d,Kepler-11 d
152,6541920,K00157.03,Kepler-11 e,Kepler-11 e
153,6541920,K00157.04,Kepler-11 f,Kepler-11 f
154,6541920,K00157.05,Kepler-11 g,Kepler-11 g
155,11086270,K00124.01,Kepler-110 b,Kepler-110 b
156,11086270,K00124.02,Kepler-110 c,Kepler-110 c
157,8165946,K02105.01,Kepler-1100 b,Kepler-1100 b
158,9225395,K02107.01,Kepler-1101 b,Kepler-1101 b
159,10709622,K02108.01,Kepler-1102 b,Kepler-1102 b
160,11499228,K02109.01,Kepler-1103 b,Kepler-1103 b
161,11460462,K02110.01,Kepler-1104 b,Kepler-1104 b
162,6921944,K02114.01,Kepler-1105 b,Kepler-1105 b
163,8164012,K02116.01,Kepler-1106 b,Kepler-1106 b
164,4055304,K02119.01,Kepler-1107 b,Kepler-1107 b
165,9415108,K02121.01,Kepler-1108 b,Kepler-1108 b
166,4262581,K02122.01,Kepler-1109 b,Kepler-1109 b
167,8559644,K00139.02,Kepler-111 b,Kepler-111 b
168,8559644,K00139.01,Kepler-111 c,Kepler-111 c
169,3546060,K02126.01,Kepler-1110 b,Kepler-1110 b
170,9351920,K02129.01,Kepler-1111 b,Kepler-1111 b
171,10549023,K02131.01,Kepler-1112 b,Kepler-1112 b
172,4254466,K02134.01,Kepler-1113 b,Kepler-1113 b
173,9364609,K02137.01,Kepler-1114 b,Kepler-1114 b
174,5022828,K02138.01,Kepler-1115 b,Kepler-1115 b
175,8233702,K02140.01,Kepler-1116 b,Kepler-1116 b
176,11403339,K02143.01,Kepler-1117 b,Kepler-1117 b
177,8260902,K02144.01,Kepler-1118 b,Kepler-1118 b
178,8381204,K02145.01,Kepler-1119 b,Kepler-1119 b
179,7626506,K00150.01,Kepler-112 b,Kepler-112 b
180,7626506,K00150.02,Kepler-112 c,Kepler-112 c
181,6774537,K02146.01,Kepler-1120 b,Kepler-1120 b
182,10617017,K02149.01,Kepler-1121 b,Kepler-1121 b
183,9641481,K02152.01,Kepler-1122 b,Kepler-1122 b
184,12116380,K02155.01,Kepler-1123 b,Kepler-1123 b
185,2556650,K02156.01,Kepler-1124 b,Kepler-1124 b
186,5546761,K02160.01,Kepler-1125 b,Kepler-1125 b
187,9205938,K02162.01,Kepler-1126 b,Kepler-1126 b
188,9205938,K02162.02,Kepler-1126 c,Kepler-1126 c
189,7204981,K02164.01,Kepler-1127 b,Kepler-1127 b
190,4370527,K02166.01,Kepler-1128 b,Kepler-1128 b
191,6041734,K02167.01,Kepler-1129 b,Kepler-1129 b
192,6041734,K02167.03,Kepler-1129 c,Kepler-1129 c
193,12252424,K00153.02,Kepler-113 b,Kepler-113 b
194,12252424,K00153.01,Kepler-113 c,Kepler-113 c
195,9006186,K02169.01,Kepler-1130 b,Kepler-1130 b
196,9006186,K02169.02,Kepler-1130 c,Kepler-1130 c
197,9006186,K02169.03,Kepler-1130 d,Kepler-1130 d
198,11410904,K02171.01,Kepler-1131 b,Kepler-1131 b
199,10965588,K02177.01,Kepler-1132 b,Kepler-1132 b
200,7286911,K02180.01,Kepler-1133 b,Kepler-1133 b
201,6962109,K02182.01,Kepler-1134 b,Kepler-1134 b
202,8611781,K02185.01,Kepler-1135 b,Kepler-1135 b
203,8282651,K02193.01,Kepler-1136 b,Kepler-1136 b
204,11075429,K02198.01,Kepler-1137 b,Kepler-1137 b
205,10909127,K02200.01,Kepler-1138 b,Kepler-1138 b
206,4144576,K02202.01,Kepler-1139 b,Kepler-1139 b
207,10925104,K00156.02,Kepler-114 b,Kepler-114 b
208,10925104,K00156.01,Kepler-114 c,Kepler-114 c
209,10925104,K00156.03,Kepler-114 d,Kepler-114 d
210,9992325,K02205.01,Kepler-1140 b,Kepler-1140 b
211,10531955,K02208.01,Kepler-1141 b,Kepler-1141 b
212,8168187,K02209.01,Kepler-1142 b,Kepler-1142 b
213,4142847,K02210.01,Kepler-1143 b,Kepler-1143 b
214,4142847,K02210.02,Kepler-1143 c,Kepler-1143 c
215,10203349,K02212.01,Kepler-1144 b,Kepler-1144 b
216,7457296,K02213.01,Kepler-1145 b,Kepler-1145 b
217,10328458,K02214.01,Kepler-1146 b,Kepler-1146 b
218,6287313,K02221.01,Kepler-1147 b,Kepler-1147 b
219,9278725,K02223.01,Kepler-1148 b,Kepler-1148 b
220,8892157,K02224.01,Kepler-1149 b,Kepler-1149 b
221,8972058,K00159.02,Kepler-115 b,Kepler-115 b
222,8972058,K00159.01,Kepler-115 c,Kepler-115 c
223,11569782,K02225.01,Kepler-1150 b,Kepler-1150 b
224,10600955,K02227.01,Kepler-1151 b,Kepler-1151 b
225,8229458,K02238.01,Kepler-1152 b,Kepler-1152 b
226,9336200,K02242.01,Kepler-1153 b,Kepler-1153 b
227,4770617,K02243.01,Kepler-1154 b,Kepler-1154 b
228,4770617,K02243.02,Kepler-1154 c,Kepler-1154 c
229,4454934,K02245.01,Kepler-1155 b,Kepler-1155 b
230,9458343,K02246.01,Kepler-1156 b,Kepler-1156 b
231,7802719,K02247.01,Kepler-1157 b,Kepler-1157 b
232,6206214,K02252.01,Kepler-1158 b,Kepler-1158 b
233,8959839,K02253.01,Kepler-1159 b,Kepler-1159 b
234,7831264,K00171.01,Kepler-116 b,Kepler-116 b
235,7831264,K00171.02,Kepler-116 c,Kepler-116 c
236,7672097,K02255.01,Kepler-1160 b,Kepler-1160 b
237,9112931,K02256.01,Kepler-1161 b,Kepler-1161 b
238,9071593,K02257.01,Kepler-1162 b,Kepler-1162 b
239,9071593,K02257.02,Kepler-1162 c,Kepler-1162 c
240,11811193,K02260.01,Kepler-1163 b,Kepler-1163 b
241,3734418,K02261.01,Kepler-1164 b,Kepler-1164 b
242,8613535,K02263.02,Kepler-1165 b,Kepler-1165 b
243,8613535,K02263.01,Kepler-1165 c,Kepler-1165 c
244,12256520,K02264.01,Kepler-1166 b,Kepler-1166 b
245,10489345,K02266.01,Kepler-1167 b,Kepler-1167 b
246,10329469,K02271.01,Kepler-1168 b,Kepler-1168 b
247,9717943,K02273.01,Kepler-1169 b,Kepler-1169 b
248,10723750,K00209.02,Kepler-117 b,Kepler-117 b
249,10723750,K00209.01,Kepler-117 c,Kepler-117 c
250,7960980,K02274.01,Kepler-1170 b,Kepler-1170 b
251,3458028,K02276.01,Kepler-1171 b,Kepler-1171 b
252,2439243,K02280.01,Kepler-1172 b,Kepler-1172 b
253,9221517,K02281.01,Kepler-1173 b,Kepler-1173 b
254,6751874,K02282.01,Kepler-1174 b,Kepler-1174 b
255,9945370,K02285.01,Kepler-1175 b,Kepler-1175 b
256,8973129,K02286.01,Kepler-1176 b,Kepler-1176 b
257,11498128,K02296.01,Kepler-1177 b,Kepler-1177 b
258,9334893,K02298.02,Kepler-1178 b,Kepler-1178 b
259,10583761,K02300.01,Kepler-1179 b,Kepler-1179 b
260,6152974,K00216.02,Kepler-118 b,Kepler-118 b
261,6152974,K00216.01,Kepler-118 c,Kepler-118 c
262,7542813,K02302.01,Kepler-1180 b,Kepler-1180 b
263,4458082,K02303.01,Kepler-1181 b,Kepler-1181 b
264,4458082,K02303.02,Kepler-1181 c,Kepler-1181 c
265,8042453,K02304.01,Kepler-1182 b,Kepler-1182 b
266,3749978,K02308.01,Kepler-1183 b,Kepler-1183 b
267,10010440,K02309.01,Kepler-1184 b,Kepler-1184 b
268,4247991,K02311.03,Kepler-1185 b,Kepler-1185 b
269,10132832,K02313.01,Kepler-1186 b,Kepler-1186 b
270,3219995,K02314.01,Kepler-1187 b,Kepler-1187 b
271,7504778,K02316.01,Kepler-1188 b,Kepler-1188 b
272,10684670,K02317.01,Kepler-1189 b,Kepler-1189 b
273,7132798,K00220.01,Kepler-119 b,Kepler-119 b
274,7132798,K00220.02,Kepler-119 c,Kepler-119 c
275,11495458,K02318.01,Kepler-1190 b,Kepler-1190 b
276,10730703,K02327.01,Kepler-1191 b,Kepler-1191 b
277,8007644,K02328.01,Kepler-1192 b,Kepler-1192 b
278,12401863,K02331.01,Kepler-1193 b,Kepler-1193 b
279,2990873,K02335.01,Kepler-1194 b,Kepler-1194 b
280,5599774,K02337.01,Kepler-1195 b,Kepler-1195 b
281,8099138,K02338.01,Kepler-1196 b,Kepler-1196 b
282,7033233,K02339.01,Kepler-1197 b,Kepler-1197 b
283,8681734,K02340.01,Kepler-1198 b,Kepler-1198 b
284,10212441,K02342.01,Kepler-1199 b,Kepler-1199 b
285,11804465,K00020.01,Kepler-12 b,Kepler-12 b
286,4249725,K00222.01,Kepler-120 b,Kepler-120 b
287,4249725,K00222.02,Kepler-120 c,Kepler-120 c
288,8247771,K02344.01,Kepler-1200 b,Kepler-1200 b
289,5629538,K02345.01,Kepler-1201 b,Kepler-1201 b
290,8561231,K02346.01,Kepler-1202 b,Kepler-1202 b
291,8235924,K02347.01,Kepler-1203 b,Kepler-1203 b
292,6941084,K02348.01,Kepler-1204 b,Kepler-1204 b
293,6200235,K02350.01,Kepler-1205 b,Kepler-1205 b
294,11670125,K02355.01,Kepler-1206 b,Kepler-1206 b
295,11461844,K02356.01,Kepler-1207 b,Kepler-1207 b
296,8495415,K02362.02,Kepler-1208 b,Kepler-1208 b
297,11342416,K02366.01,Kepler-1209 b,Kepler-1209 b
298,4545187,K00223.01,Kepler-121 b,Kepler-121 b
299,4545187,K00223.02,Kepler-121 c,Kepler-121 c
